2025-04-28 13:39:16.098 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-22","count":0}
2025-04-28 13:39:16.098 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-23","count":0}
2025-04-28 13:39:16.098 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-24","count":0}
2025-04-28 13:39:16.098 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-25","count":1273}
2025-04-28 13:39:16.098 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-26","count":1544}
2025-04-28 13:39:16.098 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-27","count":1546}
2025-04-28 13:39:16.099 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-28","count":1549}
2025-04-28 13:39:16.099 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-28","count":286}
2025-04-28 13:39:16.099 [http-nio-10253-exec-6] INFO  c.n.f.i.c.EntryApiController - [월간 출입 통계] 조회됨: [com.nhnacademy.frontservice.influxdb.EntryCountDto@44e7d436, com.nhnacademy.frontservice.influxdb.EntryCountDto@76572bc5, com.nhnacademy.frontservice.influxdb.EntryCountDto@3e7c6e38, com.nhnacademy.frontservice.influxdb.EntryCountDto@22b1bdd3, com.nhnacademy.frontservice.influxdb.EntryCountDto@588d8bd7, com.nhnacademy.frontservice.influxdb.EntryCountDto@17cb9a00, com.nhnacademy.frontservice.influxdb.EntryCountDto@4a1b2b6f, com.nhnacademy.frontservice.influxdb.EntryCountDto@656b58da]
2025-04-28 15:17:34.294 [http-nio-10253-exec-2] INFO  c.n.f.i.c.EntryApiController - [실시간 출입 통계] 조회됨: com.nhnacademy.frontservice.influxdb.realtime.dto.EntryRealtimeDto@3fce2382
2025-04-28 15:18:33.502 [http-nio-10253-exec-8] INFO  c.n.f.i.c.EntryApiController - [실시간 출입 통계] 조회됨: com.nhnacademy.frontservice.influxdb.realtime.dto.EntryRealtimeDto@a0d687a
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-22","count":0}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-23","count":0}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-24","count":0}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-25","count":1273}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-26","count":1544}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-27","count":1546}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-28","count":1549}
2025-04-28 16:47:22.845 [http-nio-10253-exec-6] INFO  c.n.f.i.s.impl.EntryServiceImpl - [Influx Entry] {"date":"2025-04-28","count":478}
