2025-04-29 10:31:29.910 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 01:31 | 출입자 수: 1
2025-04-29 10:33:44.040 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 01:33 | 출입자 수: 1
2025-04-29 10:34:53.215 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 01:34 | 출입자 수: 1
2025-04-29 10:40:14.605 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 01:40 | 출입자 수: 0
2025-04-29 11:09:40.500 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 02:09 | 출입자 수: 1
2025-04-29 11:15:00.065 [http-nio-10253-exec-8] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 02:15 | 출입자 수: 0
2025-04-29 13:28:48.327 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 04:28 | 출입자 수: 1
2025-04-29 13:43:26.769 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 04:43 | 출입자 수: 1
2025-04-29 15:02:03.788 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 06:02 | 출입자 수: 0
2025-04-29 20:24:29.814 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:40.430 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:42.601 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:43.907 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:45.467 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:46.666 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:47.838 [http-nio-10253-exec-2] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:49.052 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:50.497 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:51.731 [http-nio-10253-exec-10] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:52.474 [http-nio-10253-exec-5] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:53.455 [http-nio-10253-exec-4] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:54.297 [http-nio-10253-exec-3] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:55.180 [http-nio-10253-exec-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 20:24:55.998 [http-nio-10253-exec-7] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 11:24 | 출입자 수: 1
2025-04-29 22:24:27.459 [http-nio-10253-exec-6] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 수신 | 시간: 2025-04-29 13:24 | 출입자 수: 1
