2025-05-01 09:40:08.691 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:40 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:40","count":0}
2025-05-01 09:40:38.462 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:40 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:40","count":0}
2025-05-01 09:41:08.466 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:41 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:41","count":0}
2025-05-01 09:41:38.345 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:41 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:41","count":0}
2025-05-01 09:42:08.351 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:42 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:42","count":0}
2025-05-01 09:42:38.357 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:42 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:42","count":0}
2025-05-01 09:43:08.379 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:43 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:43","count":0}
2025-05-01 09:43:38.351 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:43 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:43","count":0}
2025-05-01 09:44:08.347 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:44 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:44","count":0}
2025-05-01 09:44:38.347 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 00:44 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 00:44","count":0}
