2025-05-07 17:07:20.959 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:07 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:07","count":0}
2025-05-07 17:07:50.149 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:07 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 08:07","count":1}
2025-05-07 17:08:24.641 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:08 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:08","count":0}
2025-05-07 17:08:54.515 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:08 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 08:08","count":1}
2025-05-07 17:09:23.948 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:09 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:09","count":0}
2025-05-07 17:09:53.948 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:09 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 08:09","count":1}
2025-05-07 17:10:24.342 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:10 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:10","count":0}
2025-05-07 17:10:57.466 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:10 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 08:10","count":1}
2025-05-07 17:11:26.705 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:11 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:11","count":0}
2025-05-07 17:11:56.712 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:11 | 출입자 수: 1 | 데이터: {"time":"2025-05-07 08:11","count":1}
2025-05-07 17:12:26.698 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:12 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:12","count":0}
2025-05-07 17:13:12.371 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:13 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:13","count":0}
2025-05-07 17:13:31.845 [http-nio-10253-exec-9] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:13 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:13","count":0}
2025-05-07 17:13:41.459 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:13 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:13","count":0}
2025-05-07 17:14:11.408 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:14 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:14","count":0}
2025-05-07 17:14:41.400 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:14 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:14","count":0}
2025-05-07 17:15:11.401 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-07 08:15 | 출입자 수: 0 | 데이터: {"time":"2025-05-07 08:15","count":0}
